time_sec,cos_sim_adjacent
603.603000,0.623785
604.604000,0.974487
605.605000,0.633988
606.606000,0.942936
607.607000,0.581027
608.608000,0.630221
609.609000,0.907743
610.610000,0.730298
611.611000,0.732328
612.612000,0.940876
613.613000,0.737289
614.614000,0.764145
615.615000,0.690560
616.616000,0.639791
617.617000,0.960526
618.618000,0.695394
619.619000,0.912513
620.620000,0.721022
621.621000,0.953827
622.622000,0.620204
623.623000,0.845190
624.624000,0.717970
625.625000,0.815682
626.626000,0.706326
627.627000,0.919784
628.628000,0.708879
629.629000,0.643138
630.630000,0.792604
631.631000,0.839796
632.632000,0.817271
633.633000,0.875873
634.634000,0.714563
635.635000,0.705626
636.636000,0.871484
637.637000,0.707390
638.638000,0.803157
639.639000,0.681999
640.640000,0.698483
641.641000,0.783193
642.642000,0.894747
643.643000,0.753236
644.644000,0.784702
645.645000,0.741348
646.646000,0.950298
647.647000,0.949627
648.648000,0.818835
649.649000,0.905228
650.650000,0.710977
651.651000,0.960735
652.652000,0.789633
653.653000,0.952602
654.654000,0.650673
655.655000,0.750129
656.656000,0.661473
657.657000,0.540877
658.658000,0.957880
659.659000,0.724207
660.660000,0.727717
661.661000,0.959633
662.662000,0.671153
663.663000,0.928383
664.664000,0.972477
665.665000,0.741150
666.666000,0.953924
667.667000,0.685218
668.668000,0.903005
669.669000,0.714651
670.670000,0.712194
671.671000,0.970002
672.672000,0.785395
673.673000,0.741214
674.674000,0.984923
675.675000,0.719042
676.676000,0.978234
677.677000,0.983232
678.678000,0.672028
679.679000,0.587522
680.680000,0.956212
681.681000,0.834053
682.682000,0.988257
683.683000,0.597555
684.684000,0.790464
685.685000,0.586430
686.686000,0.978250
687.687000,0.965842
688.688000,0.720028
689.689000,0.976118
690.690000,0.956985
691.691000,0.965162
692.692000,0.811715
693.693000,0.965904
694.694000,0.962473
695.695000,0.907486
696.696000,0.890407
697.697000,0.765512
698.698000,0.962037
699.699000,0.978089
700.700000,0.794290
701.701000,0.963584
702.702000,0.976833
703.703000,0.974391
704.704000,0.867699
